client_id,cluster,client_type,gender,country,region,acquisition_purpose,loan_applied,referral_channel,age,satisfaction_score,property_count,total_property_value,average_property_value,average_floor_area
C0090,3,Individual,M,USA,California,Home,No,Client,43,5,5,980850.4199999999,196170.08399999997,703.798
C0091,2,Individual,F,USA,California,Home,No,Website,66,4,4,1356644.74,339161.185,1161.6775
C0092,9,Individual,M,USA,Kansas,Home,No,Website,54,3,8,2817926.96,352240.87,1218.0425
C0093,9,Individual,M,USA,California,Home,No,Agency,63,2,5,1732558.38,346511.676,1196.466
C0094,2,Individual,F,USA,California,Home,No,Website,77,5,5,1062675.82,212535.16400000002,692.664
C0095,8,Individual,M,USA,California,Home,Yes,Agency,61,3,6,1668973.02,278162.17,923.105
C0096,6,Individual,M,USA,California,Investment,Yes,Website,40,3,4,1363013.17,340753.2925,1113.615
C0097,9,Individual,M,USA,Virginia,Home,Yes,Website,82,5,7,2189906.04,312843.72000000003,1061.722857142857
C0098,8,Individual,F,Russia,Saint Petersburg,Home,Yes,Agency,76,3,4,1131592.65,282898.1625,981.955
C0099,9,Individual,M,USA,California,Investment,No,Website,84,4,6,2000308.58,333384.76333333337,1201.5883333333334
C0100,7,Individual,M,USA,California,Home,No,Website,56,3,4,1449544.65,362386.1625,1174.44
C0101,2,Individual,F,USA,Nevada,Home,No,Website,74,3,4,1125013.8,281253.45,874.345
C0102,9,Individual,M,USA,California,Investment,Yes,Website,78,5,9,3403263.85,378140.4277777778,1222.908888888889
C0103,7,Individual,M,USA,Colorado,Home,No,Website,52,3,5,1483838.77,296767.754,964.9799999999999
C0104,7,Individual,M,USA,California,Home,No,Website,47,5,5,1677155.01,335431.002,1090.3
C0105,6,Individual,F,USA,California,Investment,Yes,Website,66,2,5,1328084.36,265616.87200000003,850.948
C0106,7,Individual,M,USA,Colorado,Home,No,Website,72,4,4,957679.27,239419.8175,820.9825000000001
C0107,8,Individual,M,USA,California,Home,Yes,Agency,66,4,5,1715058.23,343011.646,1102.66
C0108,9,Individual,M,USA,California,Home,No,Agency,67,4,6,1998798.72,333133.12,1104.1699999999998
C0109,6,Individual,F,USA,California,Investment,Yes,Agency,92,5,5,1995551.0899999999,399110.218,1285.854
C0110,6,Individual,F,USA,California,Investment,Yes,Agency,66,5,5,1205555.46,241111.092,811.4019999999999
C0111,1,Individual,M,USA,Arizona,Home,Yes,Website,46,2,4,1198421.22,299605.305,896.7175
C0112,6,Individual,F,USA,California,Investment,Yes,Agency,65,1,5,1775142.2,355028.44,1115.986
C0113,4,Individual,M,USA,Utah,Investment,No,Agency,76,4,4,1414433.46,353608.365,1186.715
C0114,1,Individual,F,USA,California,Home,Yes,Website,63,1,4,1124004.05,281001.0125,932.9449999999999
C0115,0,Individual,F,USA,California,Home,No,Agency,47,5,5,1757354.59,351470.918,1143.692
C0116,9,Individual,F,USA,California,Investment,No,Website,70,4,8,2484590.08,310573.76,1039.8925
C0117,9,Individual,M,UK,Scotland,Investment,No,Agency,61,4,8,2884556.25,360569.53125,1135.78625
C0118,4,Individual,F,USA,Oregon,Investment,No,Agency,77,5,4,1218377.19,304594.2975,1009.1225
C0119,1,Individual,F,USA,California,Home,Yes,Website,83,1,4,1603043.92,400760.98,1399.315
C0120,1,Individual,F,USA,California,Home,Yes,Website,72,4,5,1753587.39,350717.478,1243.96
C0121,7,Individual,M,USA,Nevada,Home,No,Website,75,2,5,1169150.31,233830.062,806.688
C0122,8,Individual,F,USA,California,Home,Yes,Agency,52,1,4,1412560.68,353140.17,1085.975
C0123,1,Individual,F,USA,California,Home,Yes,Website,63,4,5,1821348.69,364269.738,1230.6599999999999
C0124,0,Individual,F,USA,California,Home,No,Agency,62,4,5,1613985.08,322797.016,1184.6299999999999
C0125,8,Individual,M,USA,Colorado,Home,Yes,Agency,49,4,4,1341108.25,335277.0625,1148.5475
C0126,4,Individual,F,USA,California,Investment,No,Agency,53,2,5,1319929.46,263985.892,850.052
C0127,1,Individual,M,USA,Nevada,Home,Yes,Website,51,2,4,967474.23,241868.5575,765.085
C0128,6,Company,M,USA,Nevada,Investment,Yes,Website,62,5,5,1639392.9500000002,327878.59,1054.034
C0129,5,Individual,M,USA,Arizona,Investment,No,Website,52,5,4,1748372.75,437093.1875,1296.9850000000001
C0130,1,Individual,M,USA,Nevada,Home,Yes,Website,66,3,4,1488042.88,372010.72,1215.035
C0131,7,Individual,M,USA,California,Home,No,Website,54,1,5,1428058.5499999998,285611.70999999996,928.7940000000001
C0132,8,Individual,M,USA,Nevada,Home,Yes,Agency,60,1,4,1203775.04,300943.76,1025.1775
C0133,4,Individual,M,USA,California,Investment,No,Agency,79,4,4,1449799.93,362449.9825,1177.4025000000001
C0134,5,Individual,F,Russia,Novosibirsk,Investment,No,Website,93,3,5,1761669.8699999999,352333.974,1095.602
C0135,4,Individual,M,USA,Utah,Investment,No,Agency,86,2,4,1221442.92,305360.73,1043.6100000000001
C0136,7,Individual,M,USA,California,Home,No,Website,52,3,5,1892554.72,378510.944,1244.274
C0137,1,Individual,F,USA,California,Home,Yes,Website,68,3,4,989750.45,247437.6125,855.0699999999999
C0138,6,Individual,F,USA,Oregon,Investment,Yes,Website,86,3,5,1367824.55,273564.91000000003,914.412
C0139,1,Individual,F,USA,California,Home,Yes,Website,56,5,5,1807366.3,361473.26,1136.694
C0140,2,Individual,F,USA,California,Home,No,Website,73,3,5,1559561.53,311912.306,1041.7220000000002
C0141,2,Individual,F,USA,California,Home,No,Website,39,5,5,1765019.09,353003.818,1088.806
C0142,1,Individual,F,USA,Nevada,Home,Yes,Website,47,3,5,1673770.19,334754.038,1149.396
C0143,9,Individual,M,USA,California,Home,No,Website,67,1,8,2389960.3,298745.0375,1008.6325
C0144,9,Individual,M,USA,California,Home,No,Agency,71,4,5,1897739.74,379547.948,1206.354
C0145,2,Individual,F,USA,California,Home,No,Website,61,4,5,1746571.55,349314.31,1297.3200000000002
C0146,7,Individual,M,USA,Colorado,Home,No,Website,62,2,4,1481536.3900000001,370384.09750000003,1242.6425
C0147,3,Individual,M,USA,Utah,Home,No,Client,77,4,5,1398309.27,279661.854,1000.47
C0148,6,Individual,M,USA,Colorado,Investment,Yes,Agency,56,4,4,1700383.7,425095.925,1413.5925
C0149,4,Individual,M,Russia,Krasnodar Krai,Investment,No,Agency,70,3,4,1049009.0,262252.25,906.4850000000001
C0150,1,Individual,M,USA,California,Home,Yes,Website,57,2,4,1846066.58,461516.645,1500.95
C0151,0,Individual,F,USA,Oregon,Home,No,Agency,49,1,5,1589086.32,317817.264,1123.442
C0152,9,Individual,F,USA,California,Investment,Yes,Agency,58,2,7,2539205.93,362743.7042857143,1212.7585714285713
C0153,2,Individual,F,USA,California,Home,No,Website,42,5,5,1560375.26,312075.052,944.0319999999999
C0154,8,Individual,F,USA,California,Home,Yes,Agency,60,4,5,2142457.31,428491.462,1390.49
C0155,4,Company,M,USA,California,Investment,No,Agency,50,5,5,1622885.53,324577.106,1097.394
C0156,2,Individual,F,USA,California,Home,No,Website,59,5,4,1344903.47,336225.8675,1102.105
C0157,3,Individual,M,USA,Colorado,Home,Yes,Client,73,2,4,1060400.03,265100.0075,830.7675
C0158,6,Individual,F,USA,Virginia,Investment,Yes,Agency,46,3,4,1439477.66,359869.415,1131.4975
C0159,7,Individual,M,USA,California,Home,No,Website,83,3,4,1596507.45,399126.8625,1336.7325
C0160,2,Individual,F,USA,California,Home,No,Website,66,4,5,1679716.96,335943.392,1144.06
C0161,9,Individual,M,USA,California,Home,No,Website,74,5,9,2534264.26,281584.91777777777,939.4144444444444
C0162,7,Individual,M,USA,California,Home,No,Website,72,4,4,1135363.52,283840.88,983.24
C0163,6,Individual,M,USA,Utah,Investment,Yes,Agency,39,5,4,1506594.21,376648.5525,1307.32
C0164,7,Individual,M,USA,Arizona,Home,No,Website,39,5,4,1436152.54,359038.135,1196.7975
C0165,1,Individual,F,USA,California,Home,Yes,Website,69,3,3,1276849.33,425616.44333333336,1357.1933333333334
C0166,8,Individual,F,USA,Arizona,Home,Yes,Agency,41,4,4,1273643.37,318410.8425,1025.3225
C0167,9,Individual,F,UK,Scotland,Home,Yes,Website,70,3,7,2749577.33,392796.7614285714,1320.3814285714286
C0168,0,Individual,F,USA,Nevada,Home,No,Agency,65,3,4,1491785.87,372946.4675,1329.6025
C0169,6,Individual,M,USA,Ohio,Investment,Yes,Agency,35,5,3,688864.2,229621.4,845.8633333333333
C0170,7,Individual,M,USA,California,Home,No,Website,76,5,3,1161316.17,387105.38999999996,1339.7466666666667
C0171,3,Individual,F,USA,Washington,Investment,Yes,Client,34,5,4,1278753.71,319688.4275,1070.72
C0172,8,Individual,F,USA,Washington,Home,Yes,Agency,33,1,4,1681471.9100000001,420367.97750000004,1572.79
C0173,9,Individual,F,USA,Arizona,Home,Yes,Agency,49,5,8,2619968.43,327496.05375,1074.5925
C0174,3,Individual,F,USA,California,Investment,No,Client,43,3,3,865359.73,288453.24333333335,869.7866666666667
C0175,0,Individual,M,USA,Washington,Home,No,Agency,63,5,4,1606138.1199999999,401534.52999999997,1313.38
C0176,9,Individual,F,USA,California,Home,No,Website,32,2,6,2681927.91,446987.98500000004,1514.8
C0177,9,Individual,F,UK,England,Home,Yes,Website,74,5,7,2269897.21,324271.02999999997,1160.9514285714286
C0178,9,Individual,F,USA,Virginia,Home,No,Agency,73,4,7,2665917.96,380845.42285714287,1284.9985714285715
C0179,9,Individual,F,USA,Oregon,Investment,No,Website,39,2,8,2131372.11,266421.51375,947.5450000000001
C0180,9,Individual,M,USA,California,Home,Yes,Agency,82,2,7,2660292.37,380041.76714285713,1249.51
C0181,9,Individual,M,USA,Texas,Home,Yes,Website,55,2,7,2047189.62,292455.66000000003,974.1771428571428
C0182,9,Individual,F,Germany,North Rhine-Westphalia,Investment,Yes,Website,54,1,8,3082362.35,385295.29375,1246.94625
C0183,7,Individual,M,USA,Nevada,Home,No,Website,37,3,7,1883106.92,269015.27428571426,907.1042857142857
C0184,9,Individual,M,USA,Florida,Home,No,Website,31,1,6,2618938.16,436489.69333333336,1481.7150000000001
C0185,9,Individual,F,USA,Nevada,Home,Yes,Agency,80,4,7,2491911.81,355987.40142857144,1137.2942857142857
C0186,9,Individual,F,USA,Virginia,Home,No,Website,43,1,8,2674286.63,334285.82875,1100.27125
C0187,9,Individual,F,USA,Florida,Home,No,Website,35,1,6,2066651.1400000001,344441.8566666667,1135.37
C0188,9,Individual,M,USA,Oregon,Home,Yes,Website,85,5,7,2891447.6,413063.9428571429,1263.962857142857
C0189,9,Individual,F,USA,California,Home,No,Agency,67,2,7,2209659.42,315665.6314285714,1024.6857142857143
C0190,9,Individual,F,USA,California,Home,No,Website,54,2,7,2276701.17,325243.02428571426,1049.1542857142856
C0191,9,Individual,F,USA,Florida,Home,No,Agency,48,3,8,2172926.7600000002,271615.84500000003,913.8512499999999
C0192,9,Individual,F,Belgium,Brussels,Investment,Yes,Website,41,2,7,2900509.0999999996,414358.4428571428,1304.7214285714288
C0193,9,Individual,F,USA,California,Investment,Yes,Website,57,4,7,1933778.2399999998,276254.03428571427,962.7214285714286
C0194,9,Individual,M,France,Ile-de-France,Home,Yes,Website,72,5,7,2759372.27,394196.03857142857,1237.292857142857
C0195,9,Individual,M,USA,California,Home,Yes,Website,78,2,7,2102233.85,300319.12142857147,1029.2714285714285
C0196,9,Individual,M,USA,Nevada,Investment,No,Agency,68,5,6,2611736.44,435289.4066666667,1411.9466666666667
C0197,9,Individual,M,USA,Virginia,Home,No,Client,81,4,8,2775768.6,346971.075,1082.87
C0198,9,Individual,F,USA,California,Home,No,Website,49,4,8,2399689.67,299961.20875,997.5475
C0199,9,Individual,M,USA,California,Home,No,Agency,67,3,7,2582959.87,368994.26714285713,1162.7385714285715
C0200,0,Individual,F,USA,California,Home,No,Agency,81,1,4,1071359.3900000001,267839.84750000003,920.7075
C0201,0,Individual,F,USA,California,Home,No,Agency,57,1,4,1298787.54,324696.885,1147.435
C0202,7,Individual,M,Canada,British Columbia,Home,No,Website,29,1,3,1019272.5900000001,339757.53,1049.3799999999999
C0203,3,Individual,F,USA,California,Home,No,Client,69,4,4,1242478.83,310619.7075,916.0375
C0204,0,Individual,F,USA,California,Home,No,Agency,79,5,3,934432.98,311477.66,1042.7266666666667
C0205,8,Individual,F,Mexico,Puebla,Home,Yes,Agency,57,1,3,949224.48,316408.16,1072.7266666666667
C0206,8,Individual,F,USA,California,Home,Yes,Agency,68,1,3,853060.9299999999,284353.6433333333,851.4266666666667
C0207,5,Individual,M,USA,Virginia,Investment,No,Website,81,4,3,889948.76,296649.58666666667,1104.51
C0208,8,Individual,M,France,Provence,Home,Yes,Agency,39,4,4,1199654.38,299913.595,997.4100000000001
C0209,4,Individual,M,USA,Arizona,Investment,No,Agency,76,3,4,979868.13,244967.0325,794.1275
C0210,2,Individual,F,USA,Colorado,Home,No,Website,82,2,4,1346156.55,336539.1375,1135.53
C0211,0,Individual,F,USA,California,Home,No,Agency,53,3,4,1254240.07,313560.0175,1053.27
C0212,0,Individual,M,USA,California,Home,No,Agency,69,4,3,1068278.76,356092.92,1224.68
C0213,4,Individual,M,USA,Florida,Investment,No,Agency,49,5,3,809691.13,269897.04333333333,897.3100000000001
C0214,5,Individual,F,Belgium,Brussels,Investment,No,Website,79,5,3,1070534.6400000001,356844.88000000006,1179.5233333333333
C0215,5,Individual,F,Germany,Hamburg,Investment,No,Website,26,4,3,1032856.46,344285.48666666663,1110.27
C0216,7,Individual,M,USA,Utah,Home,No,Website,26,1,4,1352642.3399999999,338160.58499999996,1063.04
C0217,2,Individual,F,USA,Colorado,Home,No,Website,41,3,4,1238434.91,309608.7275,1019.1225
C0218,2,Individual,F,USA,California,Home,No,Website,55,2,3,836639.27,278879.75666666665,913.6700000000001
C0219,7,Individual,M,USA,California,Home,No,Website,37,4,4,1267653.57,316913.3925,1035.1925
C0220,5,Individual,M,Canada,Ontario,Investment,No,Website,74,1,3,1060812.68,353604.2266666666,1101.55
C0221,2,Company,F,USA,California,Home,No,Website,38,5,4,1377133.5999999999,344283.39999999997,1186.5225
C0222,4,Individual,M,USA,Utah,Investment,No,Agency,69,3,3,1223560.82,407853.6066666667,1517.47
C0223,6,Individual,M,USA,Colorado,Investment,Yes,Website,52,3,4,969341.87,242335.4675,837.5225
C0224,7,Individual,M,USA,Colorado,Home,No,Website,65,5,3,1189255.63,396418.5433333333,1330.2166666666667
C0225,8,Individual,F,USA,California,Home,Yes,Agency,77,1,4,1120626.94,280156.735,905.7525
C0226,2,Individual,F,USA,Colorado,Home,No,Website,67,2,3,1571251.03,523750.3433333333,1599.3433333333332
C0227,1,Individual,F,USA,Arizona,Home,Yes,Website,81,5,3,942245.37,314081.79,1104.51
C0228,5,Individual,F,USA,Oregon,Investment,No,Website,73,4,3,606605.72,202201.90666666665,610.62
C0229,5,Individual,M,USA,Colorado,Investment,No,Website,44,5,3,892220.13,297406.71,900.46
C0230,6,Company,M,USA,Nevada,Investment,Yes,Website,48,4,4,1457429.02,364357.255,1104.2925
C0231,6,Individual,M,Denmark,Central Denmark,Investment,Yes,Website,32,2,3,729893.08,243297.69333333333,849.6366666666667
C0232,1,Individual,F,USA,California,Home,Yes,Website,63,3,4,1276710.4900000002,319177.62250000006,1036.6525
C0233,1,Individual,M,France,Provence,Home,Yes,Website,28,4,4,1105806.54,276451.635,914.3125
C0234,1,Individual,F,USA,New York,Home,Yes,Website,46,1,3,839967.04,279989.01333333337,973.09
C0235,7,Individual,M,USA,California,Home,No,Website,76,5,4,1268586.58,317146.645,1092.085
C0236,0,Individual,M,Canada,Manitoba,Home,No,Agency,53,3,3,1321475.69,440491.89666666667,1449.5
C0237,1,Individual,M,USA,California,Home,Yes,Website,41,5,3,1392353.31,464117.77,1630.1366666666665
C0238,8,Individual,F,USA,Virginia,Home,Yes,Agency,44,4,3,1125732.72,375244.24,1125.17
C0239,1,Individual,F,USA,Oregon,Home,Yes,Website,52,3,4,1352763.67,338190.9175,1011.5799999999999
C0240,5,Individual,F,USA,Colorado,Investment,No,Website,83,3,3,935028.28,311676.0933333333,1022.67
C0241,1,Individual,F,Mexico,Nuevo Leon,Home,Yes,Website,64,5,3,1025934.71,341978.23666666663,1110.27
C0242,8,Individual,M,USA,Utah,Home,Yes,Agency,27,3,4,1358315.73,339578.9325,1191.1025
C0243,2,Individual,F,USA,Utah,Home,No,Website,47,2,4,1382777.8900000001,345694.47250000003,1286.2725
C0244,2,Individual,F,USA,California,Home,No,Website,27,1,3,1046652.28,348884.0933333333,1095.0333333333335
C0245,4,Individual,M,USA,Nevada,Investment,No,Agency,52,4,3,1354584.5,451528.1666666667,1439.256666666667
C0246,8,Individual,M,France,Normandy,Home,Yes,Agency,33,1,3,1024485.26,341495.08666666667,1117.9399999999998
C0247,7,Individual,M,USA,California,Home,No,Website,60,1,4,1696540.52,424135.13,1458.93
C0248,8,Individual,M,USA,Florida,Home,Yes,Agency,57,4,3,1035934.63,345311.54333333333,1224.68
C0249,4,Individual,F,USA,California,Investment,No,Agency,57,4,4,1142995.52,285748.88,1027.3249999999998
C0250,0,Individual,M,UK,England,Home,No,Agency,78,2,3,982306.66,327435.55333333334,1076.69
C0251,2,Individual,F,USA,Utah,Home,No,Website,49,5,3,463611.95,154537.31666666668,564.01
C0252,5,Individual,F,USA,Nevada,Investment,No,Website,72,2,3,1082221.48,360740.49333333335,1209.64
C0253,2,Individual,F,USA,Virginia,Home,No,Website,31,4,4,1239226.11,309806.5275,1052.8325
C0254,2,Individual,F,USA,Florida,Home,No,Website,69,5,4,1332152.57,333038.1425,1096.3725
C0255,3,Individual,F,UK,England,Investment,Yes,Client,64,3,4,1689083.06,422270.765,1253.3075
C0256,1,Individual,M,USA,California,Home,Yes,Website,35,1,3,1150229.15,383409.7166666666,1281.3166666666666
C0257,7,Individual,M,USA,California,Home,No,Website,51,1,3,1145456.23,381818.74333333335,1277.84
C0258,8,Individual,M,UK,Northern Ireland,Home,Yes,Agency,34,4,3,1001712.37,333904.12333333335,1173.1833333333334
C0259,2,Individual,F,USA,Oregon,Home,No,Website,35,4,3,779396.4099999999,259798.80333333332,842.68
C0260,5,Individual,F,USA,Nevada,Investment,No,Website,79,3,4,1057192.79,264298.1975,820.9225
C0261,6,Company,F,USA,Florida,Investment,Yes,Website,40,4,4,2094623.1,523655.775,1676.3825
C0262,7,Individual,M,USA,Oregon,Home,No,Website,78,2,3,1233260.4,411086.8,1359.24
